Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length
192.168.1.35,51.11.192.49,TCP,55873,443,66
208.95.112.1,192.168.1.35,TCP,80,55874,554
51.11.192.49,192.168.1.35,TCP,443,55877,1494
51.11.192.49,192.168.1.35,TCP,443,55877,2934
192.168.1.35,110.235.231.72,UDP,59792,53,70
192.168.1.35,51.11.192.49,TCP,55877,443,54
110.235.231.72,192.168.1.35,UDP,53,59792,86
192.168.1.35,208.95.112.1,TCP,55874,80,66
140.82.114.21,192.168.1.35,TCP,443,55865,66
140.82.114.22,192.168.1.35,TCP,443,55866,66
192.168.1.35,208.95.112.1,TCP,55874,80,54
51.11.192.49,192.168.1.35,TCP,443,55877,1494
51.11.192.49,192.168.1.35,TCP,443,55877,933
192.168.1.35,13.69.239.73,TCP,55876,443,66
51.11.192.49,192.168.1.35,TCP,443,55873,66
140.82.113.22,192.168.1.35,TCP,443,55869,66
13.69.239.73,192.168.1.35,TCP,443,55876,66
192.168.1.35,51.11.192.49,TCP,55877,443,1494
192.168.1.35,13.69.239.73,TCP,55876,443,54
192.168.1.35,13.69.239.73,TCP,55876,443,571

140.82.114.21,192.168.1.35,TCP,443,55870,66
13.69.239.73,192.168.1.35,TCP,443,55876,153
192.168.1.35,208.95.112.1,TCP,55878,80,66

208.95.112.1,192.168.1.35,TCP,80,55874,54
192.168.1.35,20.50.80.210,TCP,49875,443,167
192.168.1.35,208.95.112.1,TCP,55879,80,66
51.11.192.49,192.168.1.35,TCP,443,55877,54
51.11.192.49,192.168.1.35,TCP,443,55877,157
208.95.112.1,192.168.1.35,TCP,80,55878,58
192.168.1.35,208.95.112.1,TCP,55878,80,54
192.168.1.35,20.50.80.210,TCP,49875,443,1494
192.168.1.35,20.50.80.210,TCP,49875,443,1326
13.69.239.73,192.168.1.35,TCP,443,55876,1494
13.69.239.73,192.168.1.35,TCP,443,55876,1494
13.69.239.73,192.168.1.35,TCP,443,55876,2934
13.69.239.73,192.168.1.35,TCP,443,55876,931
192.168.1.35,13.69.239.73,TCP,55876,443,54
192.168.1.35,208.95.112.1,TCP,55878,80,214

208.95.112.1,192.168.1.35,TCP,80,55878,54
208.95.112.1,192.168.1.35,TCP,80,55874,54
192.168.1.35,13.69.239.73,TCP,55876,443,679
192.168.1.35,208.95.112.1,TCP,55874,80,54
192.168.1.35,51.11.192.49,TCP,55877,443,66
20.50.80.210,192.168.1.35,TCP,443,49875,54
13.69.239.73,192.168.1.35,TCP,443,55876,157
