Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length
192.168.1.35,216.239.32.223,TCP,54532,443,55
192.168.1.35,110.235.231.72,UDP,60452,53,93
192.168.1.35,110.235.231.72,UDP,54536,53,70
110.235.231.72,192.168.1.35,UDP,53,54536,86
192.168.1.35,110.235.231.72,UDP,53477,53,93
192.168.1.35,208.95.112.1,TCP,54534,80,66
216.239.32.223,192.168.1.35,TCP,443,54532,66
192.168.1.35,20.50.201.195,TCP,54510,443,167
216.239.32.223,192.168.1.35,TCP,443,54202,66
208.95.112.1,192.168.1.35,TCP,80,54534,58
192.168.1.35,20.50.201.195,TCP,54510,443,93
192.168.1.35,208.95.112.1,TCP,54534,80,54
192.168.1.35,20.50.201.195,TCP,54510,443,1494
192.168.1.35,208.95.112.1,TCP,54534,80,214
208.95.112.1,192.168.1.35,TCP,80,54534,54
192.168.1.35,20.50.201.195,TCP,54510,443,163
192.168.1.35,110.235.231.72,UDP,60452,53,93
192.168.1.35,110.235.231.72,UDP,53477,53,93
192.168.1.35,208.95.112.1,TCP,54535,80,66
110.235.231.72,192.168.1.35,UDP,53,53477,166
110.235.231.72,192.168.1.35,UDP,53,60452,166
208.95.112.1,192.168.1.35,TCP,80,54534,512
192.168.1.35,20.50.201.195,TCP,54510,443,167
192.168.1.35,20.50.201.195,TCP,54510,443,93
192.168.1.35,208.95.112.1,TCP,54536,80,66
208.95.112.1,192.168.1.35,TCP,80,54534,54
20.50.201.195,192.168.1.35,TCP,443,54510,54
20.50.201.195,192.168.1.35,TCP,443,54510,93
20.50.201.195,192.168.1.35,TCP,443,54510,54
192.168.1.35,20.50.201.195,TCP,54510,443,1494
192.168.1.35,20.50.201.195,TCP,54510,443,163
192.168.1.35,208.95.112.1,TCP,54535,80,66
110.235.231.72,192.168.1.35,UDP,53,53477,166
110.235.231.72,192.168.1.35,UDP,53,60452,166
208.95.112.1,192.168.1.35,TCP,80,54534,512
192.168.1.35,20.50.201.195,TCP,54510,443,54
208.95.112.1,192.168.1.35,TCP,80,54535,58
192.168.1.35,208.95.112.1,TCP,54534,80,54
192.168.1.35,208.95.112.1,TCP,54535,80,54
192.168.1.35,208.95.112.1,TCP,54536,80,66
208.95.112.1,192.168.1.35,TCP,80,54534,54
20.50.201.195,192.168.1.35,TCP,443,54510,54
20.50.201.195,192.168.1.35,TCP,443,54510,93
20.50.201.195,192.168.1.35,TCP,443,54510,54
192.168.1.35,208.95.112.1,TCP,54535,80,214
208.95.112.1,192.168.1.35,TCP,80,54535,54
208.95.112.1,192.168.1.35,TCP,80,54534,54
192.168.1.35,20.50.201.195,TCP,54510,443,54
208.95.112.1,192.168.1.35,TCP,80,54535,58
192.168.1.35,208.95.112.1,TCP,54534,80,54
208.95.112.1,192.168.1.35,TCP,80,54536,58
192.168.1.35,208.95.112.1,TCP,54535,80,54
192.168.1.35,208.95.112.1,TCP,54536,80,54
192.168.1.35,208.95.112.1,TCP,54535,80,214
208.95.112.1,192.168.1.35,TCP,80,54535,54
208.95.112.1,192.168.1.35,TCP,80,54534,54
192.168.1.35,208.95.112.1,TCP,54536,80,214
208.95.112.1,192.168.1.35,TCP,80,54536,54
20.50.201.195,192.168.1.35,TCP,443,54510,185
192.168.1.35,208.95.112.1,TCP,54534,80,54
208.95.112.1,192.168.1.35,TCP,80,54536,58
192.168.1.35,20.50.201.195,TCP,54510,443,89
208.95.112.1,192.168.1.35,TCP,80,54535,519
192.168.1.35,208.95.112.1,TCP,54536,80,54
192.168.1.35,208.95.112.1,TCP,54535,80,54
192.168.1.35,208.95.112.1,TCP,54536,80,214
208.95.112.1,192.168.1.35,TCP,80,54536,54
20.50.201.195,192.168.1.35,TCP,443,54510,185
192.168.1.35,208.95.112.1,TCP,54537,80,66
208.95.112.1,192.168.1.35,TCP,80,54535,54
208.95.112.1,192.168.1.35,TCP,80,54536,519
192.168.1.35,20.50.201.195,TCP,54510,443,89
208.95.112.1,192.168.1.35,TCP,80,54535,519
192.168.1.35,208.95.112.1,TCP,54536,80,54
208.95.112.1,192.168.1.35,TCP,80,54536,54
192.168.1.35,208.95.112.1,TCP,54535,80,54
192.168.1.35,208.95.112.1,TCP,54538,80,66
20.50.201.195,192.168.1.35,TCP,443,54510,54
192.168.1.35,208.95.112.1,TCP,54537,80,66
208.95.112.1,192.168.1.35,TCP,80,54535,54
208.95.112.1,192.168.1.35,TCP,80,54536,519
192.168.1.35,216.239.32.223,TCP,54532,443,55
208.95.112.1,192.168.1.35,TCP,80,54535,54
192.168.1.35,208.95.112.1,TCP,54536,80,54
208.95.112.1,192.168.1.35,TCP,80,54536,54
192.168.1.35,208.95.112.1,TCP,54535,80,54
208.95.112.1,192.168.1.35,TCP,80,54537,58
192.168.1.35,208.95.112.1,TCP,54537,80,54
20.50.201.195,192.168.1.35,TCP,443,54510,54
192.168.1.35,216.239.32.223,TCP,54532,443,55
208.95.112.1,192.168.1.35,TCP,80,54535,54
192.168.1.35,208.95.112.1,TCP,54537,80,214
208.95.112.1,192.168.1.35,TCP,80,54537,54
216.239.32.223,192.168.1.35,TCP,443,54532,66
208.95.112.1,192.168.1.35,TCP,80,54536,54
192.168.1.35,208.95.112.1,TCP,54535,80,54
208.95.112.1,192.168.1.35,TCP,80,54537,58
192.168.1.35,208.95.112.1,TCP,54536,80,54
208.95.112.1,192.168.1.35,TCP,80,54538,58
192.168.1.35,208.95.112.1,TCP,54537,80,54
192.168.1.35,208.95.112.1,TCP,54538,80,54
192.168.1.35,208.95.112.1,TCP,54537,80,214
208.95.112.1,192.168.1.35,TCP,80,54537,54
216.239.32.223,192.168.1.35,TCP,443,54532,66
208.95.112.1,192.168.1.35,TCP,80,54536,54
192.168.1.35,208.95.112.1,TCP,54538,80,212
208.95.112.1,192.168.1.35,TCP,80,54538,54
208.95.112.1,192.168.1.35,TCP,80,54537,519
192.168.1.35,208.95.112.1,TCP,54536,80,54
208.95.112.1,192.168.1.35,TCP,80,54538,58
192.168.1.35,208.95.112.1,TCP,54537,80,54
192.168.1.35,208.95.112.1,TCP,54538,80,54
192.168.1.35,208.95.112.1,TCP,54539,80,66
208.95.112.1,192.168.1.35,TCP,80,54537,54
208.95.112.1,192.168.1.35,TCP,80,54538,571
192.168.1.35,208.95.112.1,TCP,54538,80,212
208.95.112.1,192.168.1.35,TCP,80,54538,54
208.95.112.1,192.168.1.35,TCP,80,54537,519
192.168.1.35,208.95.112.1,TCP,54538,80,54
192.168.1.35,208.95.112.1,TCP,54537,80,54
192.168.1.35,208.95.112.1,TCP,54540,80,66
208.95.112.1,192.168.1.35,TCP,80,54538,54
208.95.112.1,192.168.1.35,TCP,80,54537,54
192.168.1.35,208.95.112.1,TCP,54539,80,66
208.95.112.1,192.168.1.35,TCP,80,54537,54
208.95.112.1,192.168.1.35,TCP,80,54538,571
192.168.1.35,208.95.112.1,TCP,54537,80,54
208.95.112.1,192.168.1.35,TCP,80,54539,58
192.168.1.35,208.95.112.1,TCP,54538,80,54
192.168.1.35,208.95.112.1,TCP,54539,80,54
192.168.1.35,208.95.112.1,TCP,54540,80,66
208.95.112.1,192.168.1.35,TCP,80,54538,54
208.95.112.1,192.168.1.35,TCP,80,54537,54
192.168.1.35,208.95.112.1,TCP,54539,80,213
208.95.112.1,192.168.1.35,TCP,80,54539,54
208.95.112.1,192.168.1.35,TCP,80,54540,58
192.168.1.35,208.95.112.1,TCP,54537,80,54
208.95.112.1,192.168.1.35,TCP,80,54539,58
192.168.1.35,208.95.112.1,TCP,54540,80,54
192.168.1.35,208.95.112.1,TCP,54539,80,54
192.168.1.35,208.95.112.1,TCP,54540,80,214
208.95.112.1,192.168.1.35,TCP,80,54540,54
208.95.112.1,192.168.1.35,TCP,80,54538,54
192.168.1.35,208.95.112.1,TCP,54539,80,213
208.95.112.1,192.168.1.35,TCP,80,54539,54
208.95.112.1,192.168.1.35,TCP,80,54540,58
192.168.1.35,208.95.112.1,TCP,54538,80,54
208.95.112.1,192.168.1.35,TCP,80,54540,512
208.95.112.1,192.168.1.35,TCP,80,54539,567
192.168.1.35,208.95.112.1,TCP,54540,80,54
20.50.201.195,192.168.1.35,TCP,443,54510,54
216.239.32.223,192.168.1.35,TCP,443,58854,1466
216.239.32.223,192.168.1.35,TCP,443,58854,350
192.168.1.35,216.239.32.223,TCP,54620,443,55
192.168.1.35,216.239.32.223,TCP,54202,443,55
192.168.1.35,208.95.112.1,TCP,54623,80,66
216.239.32.223,192.168.1.35,TCP,443,54620,66
208.95.112.1,192.168.1.35,TCP,80,54623,58
192.168.1.35,208.95.112.1,TCP,54624,80,66
216.239.32.223,192.168.1.35,TCP,443,54202,66
192.168.1.35,208.95.112.1,TCP,54623,80,54
192.168.1.35,216.239.32.223,TCP,54620,443,54
216.239.32.223,192.168.1.35,TCP,443,54620,54
192.168.1.35,208.95.112.1,TCP,54623,80,214
208.95.112.1,192.168.1.35,TCP,80,54623,54
192.168.1.35,216.239.32.223,TCP,54620,443,54
208.95.112.1,192.168.1.35,TCP,80,54624,58
192.168.1.35,216.239.32.223,TCP,54202,443,55
192.168.1.35,208.95.112.1,TCP,54624,80,54
192.168.1.35,208.95.112.1,TCP,54624,80,66
216.239.32.223,192.168.1.35,TCP,443,54202,66
192.168.1.35,208.95.112.1,TCP,54624,80,214
208.95.112.1,192.168.1.35,TCP,80,54624,54
192.168.1.35,216.239.32.223,TCP,54620,443,54
216.239.32.223,192.168.1.35,TCP,443,54620,54
192.168.1.35,208.95.112.1,TCP,54623,80,54
192.168.1.35,216.239.32.223,TCP,54620,443,54
208.95.112.1,192.168.1.35,TCP,80,54624,58
192.168.1.35,208.95.112.1,TCP,54625,80,66
208.95.112.1,192.168.1.35,TCP,80,54623,54
208.95.112.1,192.168.1.35,TCP,80,54625,58
192.168.1.35,208.95.112.1,TCP,54624,80,54
192.168.1.35,208.95.112.1,TCP,54625,80,54
192.168.1.35,208.95.112.1,TCP,54624,80,214
208.95.112.1,192.168.1.35,TCP,80,54624,54
192.168.1.35,208.95.112.1,TCP,54625,80,212
208.95.112.1,192.168.1.35,TCP,80,54625,54
192.168.1.35,208.95.112.1,TCP,54623,80,54
192.168.1.35,208.95.112.1,TCP,54624,80,54
208.95.112.1,192.168.1.35,TCP,80,54624,54
192.168.1.35,208.95.112.1,TCP,54625,80,66
208.95.112.1,192.168.1.35,TCP,80,54623,54
208.95.112.1,192.168.1.35,TCP,80,54625,58
192.168.1.35,208.95.112.1,TCP,54626,80,66
208.95.112.1,192.168.1.35,TCP,80,54626,58
192.168.1.35,208.95.112.1,TCP,54625,80,54
192.168.1.35,208.95.112.1,TCP,54626,80,54
192.168.1.35,208.95.112.1,TCP,54625,80,212
208.95.112.1,192.168.1.35,TCP,80,54625,54
192.168.1.35,208.95.112.1,TCP,54626,80,212
208.95.112.1,192.168.1.35,TCP,80,54626,54
192.168.1.35,208.95.112.1,TCP,54624,80,54
208.95.112.1,192.168.1.35,TCP,80,54624,54
192.168.1.35,208.95.112.1,TCP,54625,80,54
208.95.112.1,192.168.1.35,TCP,80,54625,54
192.168.1.35,208.95.112.1,TCP,54626,80,66
208.95.112.1,192.168.1.35,TCP,80,54626,58
192.168.1.35,208.95.112.1,TCP,54627,80,66
208.95.112.1,192.168.1.35,TCP,80,54627,58
192.168.1.35,208.95.112.1,TCP,54627,80,54
192.168.1.35,208.95.112.1,TCP,54627,80,212
208.95.112.1,192.168.1.35,TCP,80,54627,54
192.168.1.35,208.95.112.1,TCP,54626,80,54
192.168.1.35,208.95.112.1,TCP,54626,80,212
208.95.112.1,192.168.1.35,TCP,80,54626,54
192.168.1.35,208.95.112.1,TCP,54625,80,54
208.95.112.1,192.168.1.35,TCP,80,54625,54
192.168.1.35,208.95.112.1,TCP,54627,80,66
208.95.112.1,192.168.1.35,TCP,80,54627,58
